"","City","OtherName","Country","Latitude","Longitude","Certainty","year","pop"
"1","Ebla",NA,"Syria","35.79839754","36.79872812",1,-2250,30000
"2","Nippur",NA,"Iraq","32.12693858","45.23078534",1,-2250,30000
"3","Memphis",NA,"Egypt","29.844722","31.250833",2,-2000,60000
"4","Susa",NA,"Iran","32.19085","48.246028",1,-2000,25000
"5","Ur",NA,"Iraq","30.962659","46.10321",1,-2000,65000
"6","Mohenjodaro","Mohenjo-daro","Pakistan","27.32533494","68.13293014",1,-1800,20000
"7","Susa",NA,"Iran","32.19085","48.246028",1,-1800,25000
"8","Avaris","near Pi-Rameses","Egypt","30.78629566","31.82221773",2,-1600,100000
"9","Babylon",NA,"Iraq","32.536389","44.420833",1,-1600,60000
"10","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1600,24000
"11","Susa",NA,"Iran","32.19085","48.246028",1,-1600,25000
"12","Amarna",NA,"Egypt","27.64528963","30.89624244",1,-1360,30000
"13","Ao","Zhengzhou","China","34.766667","113.65",2,-1360,32000
"14","Dur-Kurigalzu",NA,"Iraq","33.35355825","44.20235367",1,-1360,40000
"15","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,-1360,45000
"16","Hazor","Tel Hazor","Israel","33.01745538","35.5685014",1,-1360,24000
"17","Heliopolis",NA,"Egypt","30.129528","31.288889",3,-1360,30000
"18","Knossos",NA,"Greece","35.2979516","25.16329744",1,-1360,30000
"19","Memphis",NA,"Egypt","29.844722","31.250833",2,-1360,32000
"20","Mycenae",NA,"Greece","37.73038721","22.75788116",1,-1360,30000
"21","Thebes","Waset","Egypt","25.720556","32.610278",1,-1360,80000
"22","Ugarit",NA,"Syria","35.60228865","35.78656277",1,-1360,24000
"23","Uruk","Erech","Iraq","31.322222","45.636111",2,-1360,25000
"24","Anyang",NA,"China","36.09944","114.32889",3,-1200,30000
"25","Argos","Argolis","Greece","37.63333","22.73333",1,-1200,24000
"26","Dur-Kurigalzu",NA,"Iraq","33.35355825","44.20235367",1,-1200,40000
"27","Hattusa","Hattusah, Khattushash, Bogazkale","Turkey","40.021111","34.609722",2,-1200,48000
"28","Memphis",NA,"Egypt","29.844722","31.250833",2,-1200,50000
"29","Susa",NA,"Iran","32.19085","48.246028",1,-1200,30000
"30","Luoyang","Honan","China","34.669722","112.442222",2,-1000,50000
